"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Gerrit Cole","NYY","14.81","0.72","20.67","0.24","44.3%","2.1%","42.1%",".176","0.72",".315","78.9%","36","13","45","1.43","0.48","0.95","1.77","1.57","13125"
"Corbin Burnes","MIL","15.03","0.00","49.00","0.31","45.4%","0.0%","45.4%",".152","0.55",".273","73.9%","38","12","29","1.53","0.52","1.01","1.22","1.27","19361"
"Jacob deGrom","NYM","15.17","1.03","14.75","0.51","48.0%","3.3%","44.7%",".134","0.57",".241","87.2%","13","20","33","0.51","0.82","-0.31","1.39","1.38","10954"
"Tyler Glasnow","TBR","13.38","2.63","5.09","0.48","39.2%","7.7%","31.5%",".144","0.80",".230","84.6%","43","45","64","1.67","1.70","-0.03","2.56","2.50","14374"
"Johnny Cueto","SFG","8.10","1.80","4.50","0.00","24.3%","5.4%","18.9%",".186","0.85",".250","76.5%","46","48","83","1.80","1.91","-0.11","3.41","3.72","6893"
"Alex Wood","SFG","10.00","1.50","6.67","0.50","31.3%","4.7%","26.6%",".148","0.67",".200","84.9%","38","53","55","1.50","2.11","-0.61","2.27","2.59","13781"
"Nathan Eovaldi","BOS","8.31","1.82","4.57","0.00","22.4%","4.9%","17.5%",".248","1.15",".327","67.4%","86","54","88","3.63","2.13","1.51","3.50","3.64","9132"
"Brandon Woodruff","MIL","10.29","2.31","4.44","0.26","30.1%","6.8%","23.3%",".156","0.80",".222","80.4%","44","52","72","1.80","2.14","-0.34","2.98","3.17","16162"
"Kwang-hyun Kim","STL","10.54","0.66","16.00","0.66","27.1%","1.7%","25.4%",".298","1.32",".400","79.5%","84","53","70","3.29","2.16","1.13","2.88","3.04","27458"
"Carlos Rodon","CHW","12.96","3.24","4.00","0.36","37.9%","9.5%","28.4%",".084","0.64",".130","90.9%","18","54","77","0.72","2.19","-1.47","3.08","2.82","16137"
"Dane Dunning","TEX","9.53","1.99","4.80","0.40","25.0%","5.2%","19.8%",".264","1.28",".348","68.8%","98","57","82","3.97","2.23","1.74","3.29","3.44","19409"
"Lance Lynn","CHW","10.58","1.46","7.25","0.73","29.9%","4.1%","25.8%",".215","0.97",".290","80.2%","46","57","81","1.82","2.30","-0.48","3.25","3.08","2520"
