,Name,Team,HR/9,BABIP,LOB%,WAR,K-BB%,WHIP,ERA-,WIN%
0,Gerrit Cole,NYY,0.24,0.315,78.9,2.4,42.1,0.72,36,0.8
1,Jacob deGrom,NYM,0.51,0.24100000000000002,87.2,2.1,44.7,0.57,13,0.5
2,Corbin Burnes,MIL,0.31,0.273,73.9,1.8,45.4,0.55,38,0.5
3,Tyler Glasnow,TBR,0.48,0.23,84.6,1.7,31.5,0.8,43,0.75
4,Clayton Kershaw,LAD,0.7,0.262,81.2,1.4,22.7,0.91,54,0.6666666666666666
5,Zach Eflin,PHI,0.7,0.33899999999999997,73.5,1.3,20.4,1.16,86,0.5
6,Shane Bieber,CLE,1.06,0.27399999999999997,83.3,1.3,31.4,0.99,67,0.6
7,Brandon Woodruff,MIL,0.26,0.222,80.4,1.3,23.3,0.8,44,1.0
8,Nathan Eovaldi,BOS,0.0,0.327,67.4,1.2,17.5,1.15,86,0.6666666666666666
9,Aaron Nola,PHI,0.72,0.275,74.0,1.2,22.5,0.96,76,0.6666666666666666
10,Matthew Boyd,DET,0.25,0.24,75.1,1.1,12.2,0.93,55,0.4
11,Jose Berrios,MIN,0.55,0.306,68.3,1.1,26.0,1.01,88,0.6
12,Julio Urias,LAD,0.96,0.258,74.8,1.0,24.7,0.9,74,1.0
13,Yu Darvish,SDP,0.95,0.235,89.5,1.0,25.5,0.89,54,0.75
14,Joe Musgrove,SDP,1.06,0.19699999999999998,75.9,1.0,30.3,0.74,60,0.4
15,Trevor Rogers,MIA,0.55,0.29,84.8,1.0,23.8,1.06,50,0.6
16,Danny Duffy,KCR,0.6,0.247,95.4,0.9,21.2,0.97,15,0.8
17,Carlos Rodon,CHW,0.36,0.13,90.9,0.9,28.4,0.64,18,1.0
18,Zack Wheeler,PHI,0.93,0.284,76.1,0.9,18.8,1.11,86,0.5
19,Kyle Gibson,TEX,0.0,0.281,76.9,0.9,11.9,1.14,54,1.0
20,John Means,BAL,1.22,0.18600000000000003,100.0,0.9,20.1,0.84,42,1.0
21,Lance Lynn,CHW,0.73,0.29,80.2,0.9,25.8,0.97,46,0.6666666666666666
22,Marcus Stroman,NYM,0.31,0.256,72.5,0.8,15.0,0.95,48,0.6
23,Anthony DeSclafani,SFG,0.75,0.22899999999999998,87.2,0.8,17.0,0.94,51,0.6666666666666666
24,Pablo Lopez,MIA,0.78,0.278,82.8,0.8,17.5,1.1,61,0.0
25,Johnny Cueto,SFG,0.0,0.25,76.5,0.8,18.9,0.85,46,1.0
26,Kevin Gausman,SFG,0.91,0.21,88.8,0.8,18.7,0.91,52,1.0
27,Walker Buehler,LAD,1.15,0.28600000000000003,78.7,0.8,23.8,0.96,81,1.0
28,Jose Urena,DET,0.25,0.272,66.5,0.8,8.1,1.26,86,0.2
29,Cristian Javier,HOU,0.35,0.24100000000000002,85.4,0.8,22.0,0.9,45,1.0
30,Dane Dunning,TEX,0.4,0.348,68.8,0.7,19.8,1.28,98,0.5
31,Max Scherzer,WSN,1.62,0.235,87.3,0.7,27.9,0.85,61,0.5
32,Jack Flaherty,STL,0.79,0.253,65.1,0.7,18.7,1.02,87,1.0
33,Freddy Peralta,MIL,1.04,0.196,86.5,0.7,27.7,0.88,59,1.0
34,Sandy Alcantara,MIA,0.74,0.237,71.8,0.7,17.1,0.98,83,0.3333333333333333
35,Trevor Bauer,LAD,1.58,0.15,88.5,0.7,29.1,0.68,64,0.75
36,Jakob Junis,KCR,0.42,0.315,67.8,0.7,19.8,1.17,92,0.5
37,Matt Harvey,BAL,0.58,0.29,70.7,0.6,9.7,1.29,101,0.75
38,Ian Anderson,ATL,0.82,0.271,78.2,0.6,15.9,1.21,79,0.6666666666666666
39,Taijuan Walker,NYM,0.33,0.261,74.4,0.6,10.6,1.26,78,0.5
40,Sean Manaea,OAK,1.07,0.316,79.1,0.6,18.7,1.22,90,0.75
41,Alex Wood,SFG,0.5,0.2,84.9,0.6,26.6,0.67,38,1.0
42,Carlos Martinez,STL,0.5,0.23,65.4,0.6,7.4,1.02,95,0.3333333333333333
43,Jon Gray,COL,0.79,0.247,76.1,0.6,11.1,1.19,68,0.6
44,Tyler Mahle,CIN,1.47,0.273,82.8,0.6,24.0,1.11,77,0.5
45,Hyun-Jin Ryu,TOR,0.98,0.29100000000000004,80.6,0.6,20.7,1.05,63,0.3333333333333333
46,Charlie Morton,ATL,1.07,0.298,65.1,0.6,19.0,1.22,123,0.6666666666666666
47,Jose Urquidy,HOU,1.06,0.273,75.6,0.6,13.7,1.15,96,0.5
48,Zac Gallen,ARI,0.44,0.265,73.2,0.6,19.1,1.16,85,0.5
