"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Gerrit Cole","NYY","4","1","0","6","6","37.2","14.81","0.72","0.24",".315","78.9%","36.5%","2.9%","97.5","1.43","1.57","0.48","1.77","2.4","13125"
"Jacob deGrom","NYM","2","2","0","5","5","35.0","15.17","1.03","0.51",".241","87.2%","38.3%","7.7%","98.8","0.51","1.48","0.82","1.39","2.1","10954"
"Corbin Burnes","MIL","2","2","0","5","5","29.1","15.03","0.00","0.31",".273","73.9%","53.6%","5.3%","96.9","1.53","1.17","0.52","1.22","1.8","19361"
"Tyler Glasnow","TBR","3","1","0","6","6","37.2","13.38","2.63","0.48",".230","84.6%","40.8%","6.1%","97.6","1.67","1.92","1.70","2.56","1.7","14374"
"Clayton Kershaw","LAD","4","2","0","6","6","38.2","9.08","1.16","0.70",".262","81.2%","49.0%","8.1%","91.3","2.09","2.57","2.49","3.17","1.4","2036"
"Zach Eflin","PHI","1","1","0","6","6","38.2","7.91","0.47","0.70",".339","73.5%","40.8%","7.5%","93.3","3.49","3.73","2.52","3.33","1.3","13774"
"Shane Bieber","CLE","3","2","0","6","6","42.1","14.46","2.98","1.06",".274","83.3%","42.7%","15.2%","93.2","2.76","2.51","2.50","2.33","1.3","19427"
"Brandon Woodruff","MIL","2","0","0","6","6","35.0","10.29","2.31","0.26",".222","80.4%","45.7%","4.2%","96.9","1.80","2.51","2.14","2.98","1.3","16162"
"Nathan Eovaldi","BOS","4","2","0","6","6","34.2","8.31","1.82","0.00",".327","67.4%","49.0%","0.0%","97.6","3.63","3.08","2.13","3.50","1.2","9132"
"Aaron Nola","PHI","2","1","0","6","6","37.2","9.32","1.19","0.72",".275","74.0%","41.3%","7.9%","92.6","3.11","2.88","2.63","3.38","1.2","16149"
"Matthew Boyd","DET","2","3","0","6","6","35.2","6.06","1.77","0.25",".240","75.1%","33.3%","2.1%","92.1","2.27","3.63","2.97","4.98","1.1","15440"
"Jose Berrios","MIN","3","2","0","6","6","32.2","11.57","2.48","0.55",".306","68.3%","42.5%","9.1%","94.6","3.58","4.13","2.35","2.74","1.1","14168"
"Julio Urias","LAD","4","0","0","6","6","37.2","10.04","1.43","0.96",".258","74.8%","44.2%","11.4%","94.4","2.87","2.99","2.82","3.08","1.0","14765"
"Yu Darvish","SDP","3","1","0","6","6","38.0","11.61","2.61","0.95",".235","89.5%","29.8%","10.3%","94.9","2.13","2.99","3.08","3.52","1.0","13074"
"Joe Musgrove","SDP","2","3","0","6","6","34.0","12.44","1.85","1.06",".197","75.9%","50.0%","18.2%","93.8","2.38","3.10","2.76","2.37","1.0","12970"
"Trevor Rogers","MIA","3","2","0","6","6","33.0","12.00","3.55","0.55",".290","84.8%","36.2%","7.1%","95.0","1.91","2.88","2.60","3.30","1.0","22286"
"Danny Duffy","KCR","4","1","0","5","5","30.0","10.20","2.70","0.60",".247","95.4%","32.0%","6.1%","93.9","0.60","3.65","2.61","3.68","0.9","3542"
"Carlos Rodon","CHW","4","0","0","4","4","25.0","12.96","3.24","0.36",".130","90.9%","39.1%","5.0%","95.0","0.72","2.43","2.19","3.08","0.9","16137"
"Zack Wheeler","PHI","2","2","0","6","6","38.2","9.54","2.79","0.93",".284","76.1%","41.7%","12.9%","97.7","3.49","3.50","3.42","3.49","0.9","10310"
"Kyle Gibson","TEX","3","0","0","6","6","33.1","7.29","2.97","0.00",".281","76.9%","53.1%","0.0%","93.6","2.16","3.01","2.57","3.95","0.9","10123"
"John Means","BAL","3","0","0","6","6","37.0","9.24","2.43","1.22",".186","100.0%","38.5%","12.2%","92.7","1.70","3.19","3.62","3.82","0.9","16269"
"Lance Lynn","CHW","2","1","0","4","4","24.2","10.58","1.46","0.73",".290","80.2%","31.3%","7.1%","94.1","1.82","2.38","2.30","3.25","0.9","2520"
"Marcus Stroman","NYM","3","2","0","6","6","29.1","7.06","1.84","0.31",".256","72.5%","60.0%","6.3%","93.8","1.84","3.58","2.70","3.22","0.8","13431"
"Anthony DeSclafani","SFG","2","1","0","6","6","36.0","8.25","2.25","0.75",".229","87.2%","54.6%","10.0%","94.3","2.00","3.21","3.11","3.50","0.8","13050"
